snapshot,rank_correlation,topk_overlap,variance_shift,variance_stability,consistency
NutriCompass_backup_20260208,0.8967199577130762,0.3333333333333333,3.2705013458179923,0.23416454393095507,0.48807261165912147
NutriCompass_backup_20260209,0.9858680962082997,1.0,0.0022157451274793516,0.9977891535447814,0.9945524165843604
NutriCompass_backup_20260210,0.9710022365826378,0.6666666666666666,0.03885204272155951,0.9626009853917447,0.8667566295470164
NutriCompass_backup_20260211,0.9992057722530211,0.6666666666666666,0.1974600401781803,0.8351009356865065,0.8336577915353981
NutriCompass_backup_20260212,0.8726769342518105,0.8181818181818182,0.20362751855407435,0.8308218153746656,0.8405601892694315
NutriCompass_backup_20260213,0.9781835392289134,1.0,0.0017614087513457832,0.9982416883541748,0.992141742527696
NutriCompass_backup_20260214,1.0,1.0,0.032065362615635085,0.968930879983832,0.9896436266612773
NutriCompass_backup_20260215,0.9885805772860051,0.6666666666666666,0.05062244897959278,0.9518167072969368,0.8690213170832028
NutriCompass_backup_20260216,1.0,1.0,0.5227346938775508,0.6567132173586727,0.8855710724528909
NutriCompass_backup_20260217,0.9612935893251482,0.6666666666666666,0.15988599103690992,0.8621537010771414,0.830037985689652
NutriCompass_backup_20260218,0.9656601328985732,0.8181818181818182,1.0206524290585293,0.4948896631697932,0.7595772047500615
