snapshot,distribution_shift,turnover,membership_shift,sensitivity
MenuCal_backup_20251226,0.26400649812163635,1,0.202247191011236,0.48875122971095747
MenuCal_backup_20251227,0.029685652455212663,1,0.29807692307692313,0.4425875251773786
MenuCal_backup_20251228,0.010396154592381772,1,0.14953271028037385,0.3866429549575852
MenuCal_backup_20251229,0.031734044532068004,1,0.1875,0.40641134817735597
MenuCal_backup_20251230,0.00927146316618137,1,0.06862745098039214,0.35929963804885784
MenuCal_backup_20251231,0.021956937646923455,1,0.07339449541284404,0.3651171443532559
MenuCal_backup_20260101,0.06858866916558731,1,0.16393442622950816,0.4108410317983651
MenuCal_backup_20260102,0.012427627194020362,1,0.04958677685950408,0.3540048013511748
MenuCal_backup_20260103,0.018170070794569622,1,0.06201550387596899,0.36006185822351283
MenuCal_backup_20260104,0.007955330015594555,1,0.051851851851851816,0.35326906062248215
MenuCal_backup_20260105,0.016544380383199876,1,0.08391608391608396,0.366820154766428
