snapshot,rank_correlation,cluster_similarity,variance_shift,variance_stability,consistency
MenuCal_backup_20251226,0.8944271909999157,0.8255813953488372,27.24680511044422,0.03540223384874954,0.5851369400658343
MenuCal_backup_20251227,0.9450211146475987,0.7802197802197802,2.8705308867863977,0.25836249063762784,0.6612011285016689
MenuCal_backup_20251228,0.9743397145642458,0.8411214953271028,1.968965625475608,0.33681764161207045,0.717426283834473
MenuCal_backup_20251229,0.968447299596687,0.9479166666666666,4.370091925486605,0.1862165515740936,0.7008601726124825
MenuCal_backup_20251230,0.9847480581129552,0.9405940594059405,0.6777038463312799,0.5960527551908227,0.840464957569906
MenuCal_backup_20251231,0.9942050893202068,0.9174311926605505,0.9747806100104768,0.5063853650024924,0.8060072156610832
MenuCal_backup_20260101,0.959874958115957,0.8347826086956521,5.458318360756053,0.15483906864618138,0.6498322118192635
MenuCal_backup_20260102,0.991525504465572,0.9504132231404959,1.936089408504447,0.3405890832559384,0.7608426036206687
MenuCal_backup_20260103,0.9935771790603232,0.937984496124031,5.675600250468538,0.14979926335909843,0.6937869795144841
MenuCal_backup_20260104,0.9966653341044089,0.9552238805970149,1.7827633279425115,0.35935503028903604,0.7704147483301532
MenuCal_backup_20260105,0.9817715750498434,0.9357142857142857,0.024394017371093923,0.9761868802848963,0.9645575803496751
