snapshot,rank_correlation,topk_overlap,variance_shift,variance_stability,consistency
MenuCal_backup_20251226,0.9449022554667894,0.5384615384615384,2.216877268651814,0.3108604763212175,0.5980747567498484
MenuCal_backup_20251227,0.9784576866236976,0.8181818181818182,13.025527909537097,0.0712985640504853,0.6226460229520004
MenuCal_backup_20251228,0.9512422180404008,1.0,0.05123355793069351,0.9512633919035609,0.9675018699813206
MenuCal_backup_20251229,0.964896591433449,0.8181818181818182,4.6296419039668955,0.1776311916563211,0.6535698670905294
MenuCal_backup_20251230,0.980114887857269,1.0,0.4473415367634921,0.6909219245073104,0.8903456041215264
MenuCal_backup_20251231,0.9781781744274834,0.6666666666666666,8.941147449984719,0.10059200962777563,0.5818122835739753
MenuCal_backup_20260101,0.9757587923252087,0.8181818181818182,1.091107525043185,0.4782154853463828,0.7573853652844699
MenuCal_backup_20260102,0.9804482987887216,0.8181818181818182,0.5545233267675371,0.6432840104621599,0.8139713758108998
MenuCal_backup_20260103,0.9818334607124998,0.6666666666666666,0.8916594247788581,0.5286363850178283,0.7257121707989982
MenuCal_backup_20260104,0.9853729498596873,1.0,0.761195609933246,0.5677961007624261,0.851056350207371
MenuCal_backup_20260105,0.9834985647738597,1.0,2.66019381557361,0.27320957588233186,0.7522360468853971
