snapshot,distribution_shift,turnover,membership_shift,sensitivity
NutriCompass_backup_20260208,0.9100325744486969,1,0.3055555555555556,0.738529376668084
NutriCompass_backup_20260209,0.10140195842165078,0,0.027027027027026973,0.04280966181622592
NutriCompass_backup_20260210,0.11309778949983895,0,0.3913043478260869,0.16813404577530863
NutriCompass_backup_20260211,0.1444515324554937,0,0.02631578947368418,0.05692244064305929
NutriCompass_backup_20260212,0.9279945808769451,0,0.36363636363636365,0.4305436481711029
NutriCompass_backup_20260213,0.042873579506768594,0,0.2857142857142857,0.1095292884070181
NutriCompass_backup_20260214,0.015692924394356142,0,0.0,0.005230974798118714
NutriCompass_backup_20260215,0.0919743276973571,0,0.06521739130434778,0.05239723966723495
NutriCompass_backup_20260216,0.041063093574166154,0,0.0,0.013687697858055384
NutriCompass_backup_20260217,0.7769533073442421,0,0.12,0.29898443578141404
NutriCompass_backup_20260218,0.2005850010638792,0,0.07547169811320753,0.09201889972569559
