snapshot,rank_correlation,cluster_similarity,variance_shift,variance_stability,consistency
NutriCompass_backup_20260208,0.9746794344808964,0.6944444444444444,12.052581292787632,0.07661319838341574,0.5819123591029188
NutriCompass_backup_20260209,1.0,0.972972972972973,0.1340028110686582,0.8818320291971966,0.9516016673900566
NutriCompass_backup_20260210,0.9876731382896479,0.7297297297297297,0.8564496163517088,0.5386626123283637,0.7520218267825803
NutriCompass_backup_20260211,1.0,0.9736842105263158,0.22888221436016565,0.8137476385567707,0.9291439496943622
NutriCompass_backup_20260212,0.9908673886137246,0.6538461538461539,2.962439957991746,0.2523697546465341,0.6323610990354709
NutriCompass_backup_20260213,0.9703684387037215,0.9090909090909091,0.25659399231187763,0.7958019902356872,0.8917537793434392
NutriCompass_backup_20260214,1.0,1.0,0.16536094588783712,0.8581032370517137,0.9527010790172379
NutriCompass_backup_20260215,0.9962005366489,0.9555555555555556,0.45720371357693956,0.686245849281663,0.8793339804953728
NutriCompass_backup_20260216,1.0,1.0,1.773799564126767,0.36051631593460676,0.7868387719782023
NutriCompass_backup_20260217,0.9411992652200915,0.8979591836734694,0.8771528232540167,0.5327216770057723,0.790626708633111
NutriCompass_backup_20260218,0.9693185401433019,0.9056603773584906,1.9024152455291308,0.34454063784994104,0.7398398517839112
